comment_text,actual_score,actual_sentiment,predicted_sentiment,is_correct
全部(5000+)有图/视频(2000+)追评(200+)默认排序默认排序时间排序体验感很好充电速度快运行很顺畅小赠品很好玩游戏很棒电池好用是正品性价比一般乳**杰2025年3月29日 · 山峦青 / 5G全网通 / 官方标配 / 16GB+512GB有用 (3)非常满意这台手机，充电有保护模式，低功耗充电模式19分钟充了50%。照片美化效果也是把我的情绪价值拉满，希望它能安安稳稳的陪我5年。x**12025年3月21日 · 冠军版 ALSC 深灰色 / 5G全网通 / 官方标配 / 16GB+1024GB有用 (1)k80pro冠军版惊艳！性能强悍，运行如飞，续航持久，电竞美学设计独特，屏幕色彩绝佳，性价比爆表，果断推荐！商家回复：极致性价比，让您选择了小米，小米不会让您失望，更多的惊喜等您发现。絮**ⅱ2025年4月5日 · 雪岩白 / 5G全网通 / 官方标配 / 12GB+512GB有用 (1)家人们谁懂啊，红米K80 Pro入手一段时间了，必须来给大伙分享下使用体验！ - 性能：这性能简直逆天，骁龙处理器配上超大内存组合，不管是运行大型游戏还是多软件同时开，一点卡顿都没有，游戏加载飞快，团战也丝滑不掉帧，日常使用更是轻松拿捏，各种操作都能快速响应，生产力直接拉满。 - 屏幕：2K分辨率屏幕显示效果超绝，色彩鲜艳、画面清晰，看视频、玩游戏沉浸感十足，护眼模式也很贴心，长时间使用眼睛也不容易累，真的太爱了。 - 拍照：影像能力远超我的预期，高像素主摄搭配特色镜头，不管是拍风景还是人像，细节满满、色彩还原度高，夜景模式下也能拍出超高质量的照片，随手一拍就是大片。 - 续航：大电池加上快充，电量焦虑直接拜拜，日常使用一天下来还有不少电，充电速度也快，吃个饭的功夫就能充上好多电，太方便了。 红米K80 Pro性价比超高，预算有限又想体验旗舰机性能的朋友闭眼入！ Produced By Doubao.t**22025年2月18日 · 山峦青 / 5G全网通 / 官方标配 / 12GB+512GB有用 (4)用了一俩星期，感觉还不错吧，比之前用的k50多了很多功能还玩不太明白，不过平时的续航能力挺强的，充电速度也很快几分钟就10多格电了我**了2025年3月24日 · 冠军版 ALSC 深灰色 / 5G全网通 / 官方标配 / 16GB+1024GB有用 (0)此。15天后追评：在小米15ultra和这个徘徊中，没什么用手机拍照的需求！因为外观质感很帅选了这个！88vip和淘金币后到手4113元！但是冠军版没赠耳机！到手后在米商店发现只要k80pro购买都有送耳机，不分是否冠军版！ 使用中目前流畅无碍！各种广告关一关！比那个大牌旗舰机体验感好！这个副机都快用成主机了！火**望2025年2月10日 · 雪岩白 / 5G全网通 / 官方标配 / 16GB+512GB有用 (20)HA但是用多了曲面屏后看直面屏是有点档次不够，可以拍远景 显示效果：屏幕色彩很通透，第二台了，隔天傍晚就收到了，黑色最有档次，隔天下午就送到了👍🏻，不管是拍照还是自拍效果都很好，性价比非常高，美感提升颇多，还有礼品。很实用的一款手机，客服小姐姐态度很好，虽然这次没有赠品，点个赞！，物流也很快昨晚买今早就到了，通信音质：很满意的一次购物，值得推荐。眼睛看着色彩舒服 ，开超清高帧率没啥问题。10天后追评：性价比非常高，美感提升颇多卓**骨2025年3月20日 · 玄夜黑 / 5G全网通 / 官方标配 / 16GB+1024GB有用 (0)手机功能强大，性价比超高，强大的GPU骁龙至尊版3纳米芯片就是不一般，充电特别快，上个大号20%直接飙血96%.商家回复：外观漂亮是为了衬托您的气质，运行流畅是为了给您带来便捷。超长续航是为了让您出门放心，像素超高是为了给您留下珍贵的回忆，小米的每一次进步都是为了让您如愿以偿。更多q**a2025年4月5日 · 山峦青 / 5G全网通 / 官方标配 / 12GB+256GB有用 (0)红米 K80 Pro 绝了!外观美，握持舒适还防尘防水。2K 屏护眼又清晰，超声波指纹解锁快。骁龙 8 至尊版性能强，游戏稳帧不发热。6000mAh 大电池耐用，充电快。拍照也不错，闭眼入!x**42025年2月24日 · 玄夜黑 / 5G全网通 / 官方标配 / 16GB+512GB有用 (3)送给儿子高三的毕业礼物，希望儿子喜欢，没有拆封，等孩子成人礼的时候亲手送给孩子，让他自己拆，一般都是在旗舰店买的，质量应该有保障。先好评，今年都在小米旗舰店买了两部手机了。商家回复：强劲性能、超大内存，性能提升、功耗降低，整机流畅，顺畅丝滑，不留痕迹~帝**皇2025年2月15日 · 雪岩白 / 5G全网通 / 官方标配 / 16GB+512GB有用 (0)图片中的手机已经套了外壳了，这一代的Pro版红米手机性能跟上主流水准，配置也还行，用着感觉蛮好的！关键是这一代上了120W快充，**，那充电速度真的巨快，希望手机本身的电池能扛得住吧！年前一波的手机国补被生生浪费掉了！只好年后用了降低标准的500国补券，可惜了，比年前贵了一点，比较 烦òᆺóh**g2025年2月23日 · 玄夜黑 / 5G全网通 / 官方标配 / 12GB+512GB有用 (2)买的时候还在犹豫，用了几天感觉还不错，虽然系统偶尔有点卡顿，但是用旧手机试了一下，卡顿的地方多数别的手机带广告，还是这系统用着放心，估计我这手只能拿这尺寸，6.67正好能勉强单手打字，6.8的什么时候也用不了单手打字，这尺寸设计还是加分项，回来再用用看，嫌大了再买6.3的尺寸，怪不得比不上别家的手机电池配置，原来是为了放进这个尺寸里。商家回复：您好，抱歉给您带来不好的体验了。手机卡顿原因有很多，可能当前运行程序较多，可尝试关闭一些后台运行程序。卸载手机中优化、省电、安全类的软件，关闭不常用的自启动项。如果手机CPU占用较高，并且后台进程运行较多出现卡顿，可重启手机，无关的后台进程以及应用程序将会关闭。产品使用中有任何需要帮助的，您可以随时联系咱们旺旺在线客服协助处理，我们将竭诚为您服务。更多可**12025年3月18日 · 玄夜黑 / 5G全网通 / 官方标配 / 12GB+256GB有用 (0)这款内存最小也有256了，买来给老人用的，内存完全够了，本来想买小米14个或15的，考虑到屏幕太小了，老人还是大点屏幕看起来舒服，这款红米k80pro国补后才3000左右，用小米50W的无线充电速度也很快，要用手机自带的手机壳，其他壳子没法无线充电已试过，还有nfc功能，刷交通卡也很方便，还是新款，超高性价比p**o2025年2月8日 · 雪岩白 / 5G全网通 / 官方标配 / 16GB+512GB有用 (0)还不错 国补➕24期免息，不打游戏能用一天，流畅度还行，没有网上说的那么差，就看夏天的高温天气表现了商家回复：跨越山海，使用高超的运行速度来拥抱您~我**嘴2025年1月31日 · 玄夜黑 / 5G全网通 / 官方标配 / 16GB+512GB有用 (4)上一部是小米10s，用了三四年，反正一对比，比之前的好的太多了，反应快，还有长焦，挺好的，就是个别场景颜色需要调一调。 内存买了16g的，开了微信抖音还有快手，日常基本还有剩8个g。 其他的，信号还不错，无论是WiFi还是运营商的，目前稳定不断连。用了一周，目前还没碰到bug。 没玩游戏，没体会到手机归会不会发烫。 续航不错，正常使用下来，刷视频之类的，能到8个小时。充电半个小时左右能充满。 碰到国补减500挺香，15屏幕小了点，这个尺寸就挺合适。 外放一般。商家回复：您好，很抱歉给您带来不好的使用体验。建议您先检查扬声器出音孔是否有灰尘、异物等脏污，如果有，可以使用小刷子轻刷或吹风机冷风吹拭等方法清理干净后尝试；建议您进行有效备份后升级系统尝试；也可以更换一下使用环境，排除干扰问题。产品使用中有任何需要帮助的，您可以随时联系我们旺旺在线客服。更多c**82025年3月27日 · 雪岩白 / 5G全网通 / 官方标配 / 16GB+1024GB有用 (0)用了几天，感觉非常好用，赠品也收到了，没有遇到bug，也没有遇到任何质量和性能上的问题。上一个手机还是K50标准版，K50用了三年，这次买了K80Pro1TB的，感觉可以用五六年。天**t2025年3月20日 · 山峦青 / 5G全网通 / 官方标配 / 12GB+256GB有用 (0)今天晚上拿到快递了，是一个红米手机，挺好用的。商家回复：倾国倾城只是外表，超长续航，旗舰性能，主流游戏的满帧体验才是这款手机真正的秘密呢~李**22025年3月2日 · 玄夜黑 / 5G全网通 / 官方标配 / 16GB+1024GB有用 (0)自己用了K70觉得挺惊艳真的很能打，这次趁着国家补贴给老婆换了K80Pro 1T的，拍照强，容量大，充电光速，待机长，绝对的居家好机器。小米加油，真的让每一个人都享受到科技的便利。商家回复：非常感谢您给予我们的支持，我们将继续精益求精，为您提供更好的产品星**s2025年2月19日 · 玄夜黑 / 5G全网通 / 官方标配 / 12GB+256GB有用 (1)6千毫安的电池搭配骁龙8至尊，真的很耐用，打游戏的性能也是非常的强，澎湃2.0流畅很多，卡顿也少了。 拍照比前几代强很多，终于不是扫码级别了。 超声波指纹真的是用过就回不去了，非常舒服，湿手也可以解锁，还有ip68。 华星最新的屏幕，护眼第一梯队，真的舒服，亮度还是差点意思，在户外用有点难受。 只有单扬声器，马达非常一般，外壳质感廉价的很，不配3千的价位。商家回复：您好，非常抱歉没有达到您预期的效果，振动马达：支持(X轴线性马达)；电池盖材质：玻璃 :Panda X(熊猫)；边框材质：铝合金纳米注塑；镜头保护玻璃材质：第五代康宁大猩猩玻璃；实体按键材质：6系铝合金。设置-显示-色彩风格（在勾选“生动（推荐）”后，在上方球型内调节取点的位置）。设置-显示-刷新率选择-自定义-60Hz，更改屏幕显示效果的偏好；扬声器：非对称立体声双扬声器；顶部扬声器为听筒加扬声器二合一设计。我们很重视您的反馈，以后也会不断改进和完善，给大家带来更满意的产品，后续您有任何疑问和需求可以联系咱们的旺旺在线客服详细咨询，将竭诚为您服务。更多l**i2025年3月10日 · 雪岩白 / 5G全网通 / 官方标配 / 16GB+512GB有用 (0)还不错，用上了，充电功率超高，速度超快，赶紧十几分钟就充满了。商家回复：飞速的充电速度，是我们的品质，您的选择。k**02025年1月12日 · 玄夜黑 / 5G全网通 / 官方标配 / 12GB+256GB有用 (2)通信音质：通话信号很强，音质很清晰 其他特色：这次拍照有个长焦，好很多，可以拍远景 显示效果：屏幕色彩很通透，眼睛看着色彩舒服商家回复：好品质才有好效果，高品质的产品才能为您锦上添花。希望您常来，多多推荐哟～,3,1,1,True
家人们谁懂啊，红米K80 Pro入手一段时间了，必须来给大伙分享下使用体验！ - 性能：这性能简直逆天，骁龙处理器配上超大内存组合，不管是运行大型游戏还是多软件同时开，一点卡顿都没有，游戏加载飞快，团战也丝滑不掉帧，日常使用更是轻松拿捏，各种操作都能快速响应，生产力直接拉满。 - 屏幕：2K分辨率屏幕显示效果超绝，色彩鲜艳、画面清晰，看视频、玩游戏沉浸感十足，护眼模式也很贴心，长时间使用眼睛也不容易累，真的太爱了。 - 拍照：影像能力远超我的预期，高像素主摄搭配特色镜头，不管是拍风景还是人像，细节满满、色彩还原度高，夜景模式下也能拍出超高质量的照片，随手一拍就是大片。 - 续航：大电池加上快充，电量焦虑直接拜拜，日常使用一天下来还有不少电，充电速度也快，吃个饭的功夫就能充上好多电，太方便了。 红米K80 Pro性价比超高，预算有限又想体验旗舰机性能的朋友闭眼入！ Produced By Doubao.,3,1,1,True
图片中的手机已经套了外壳了，这一代的Pro版红米手机性能跟上主流水准，配置也还行，用着感觉蛮好的！关键是这一代上了120W快充，**，那充电速度真的巨快，希望手机本身的电池能扛得住吧！年前一波的手机国补被生生浪费掉了！只好年后用了降低标准的500国补券，可惜了，比年前贵了一点，比较 烦òᆺó,3,1,1,True
k80pro冠军版惊艳！性能强悍，运行如飞，续航持久，电竞美学设计独特，屏幕色彩绝佳，性价比爆表，果断推荐！商家回复：极致性价比，让您选择了小米，小米不会让您失望，更多的惊喜等您发现。,3,1,1,True
此。15天后追评：在小米15ultra和这个徘徊中，没什么用手机拍照的需求！因为外观质感很帅选了这个！88vip和淘金币后到手4113元！但是冠军版没赠耳机！到手后在米商店发现只要k80pro购买都有送耳机，不分是否冠军版！ 使用中目前流畅无碍！各种广告关一关！比那个大牌旗舰机体验感好！这个副机都快用成主机了！,3,1,1,True
HA但是用多了曲面屏后看直面屏是有点档次不够，可以拍远景 显示效果：屏幕色彩很通透，第二台了，隔天傍晚就收到了，黑色最有档次，隔天下午就送到了👍🏻，不管是拍照还是自拍效果都很好，性价比非常高，美感提升颇多，还有礼品。很实用的一款手机，客服小姐姐态度很好，虽然这次没有赠品，点个赞！，物流也很快昨晚买今早就到了，通信音质：很满意的一次购物，值得推荐。眼睛看着色彩舒服 ，开超清高帧率没啥问题。10天后追评：性价比非常高，美感提升颇多,3,1,1,True
手机功能强大，性价比超高，强大的GPU骁龙至尊版3纳米芯片就是不一般，充电特别快，上个大号20%直接飙血96%.商家回复：外观漂亮是为了衬托您的气质，运行流畅是为了给您带来便捷。超长续航是为了让您出门放心，像素超高是为了给您留下珍贵的回忆，小米的每一次进步都是为了让您如愿以偿。更多,3,1,1,True
送给儿子高三的毕业礼物，希望儿子喜欢，没有拆封，等孩子成人礼的时候亲手送给孩子，让他自己拆，一般都是在旗舰店买的，质量应该有保障。先好评，今年都在小米旗舰店买了两部手机了。商家回复：强劲性能、超大内存，性能提升、功耗降低，整机流畅，顺畅丝滑，不留痕迹~,3,1,1,True
买的时候还在犹豫，用了几天感觉还不错，虽然系统偶尔有点卡顿，但是用旧手机试了一下，卡顿的地方多数别的手机带广告，还是这系统用着放心，估计我这手只能拿这尺寸，6.67正好能勉强单手打字，6.8的什么时候也用不了单手打字，这尺寸设计还是加分项，回来再用用看，嫌大了再买6.3的尺寸，怪不得比不上别家的手机电池配置，原来是为了放进这个尺寸里。商家回复：您好，抱歉给您带来不好的体验了。手机卡顿原因有很多，可能当前运行程序较多，可尝试关闭一些后台运行程序。卸载手机中优化、省电、安全类的软件，关闭不常用的自启动项。如果手机CPU占用较高，并且后台进程运行较多出现卡顿，可重启手机，无关的后台进程以及应用程序将会关闭。产品使用中有任何需要帮助的，您可以随时联系咱们旺旺在线客服协助处理，我们将竭诚为您服务。更多,3,1,1,True
还不错 国补➕24期免息，不打游戏能用一天，流畅度还行，没有网上说的那么差，就看夏天的高温天气表现了商家回复：跨越山海，使用高超的运行速度来拥抱您~,3,1,1,True
